Date : 2026-05-12 13:41:09
Directory : z:\Projects\mstender
Total : 242 files,  49064 codes, 2203 comments, 4163 blanks, all 55430 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          9 |     28,907 |          0 |         20 |     28,927 |
| JavaScript JSX |        105 |     13,508 |        854 |      2,054 |     16,416 |
| PHP            |         97 |      5,863 |      1,307 |      1,826 |      8,996 |
| JavaScript     |         16 |        354 |         35 |         91 |        480 |
| Markdown       |          4 |        175 |          0 |        119 |        294 |
| CSS            |          3 |        107 |          7 |         23 |        137 |
| YAML           |          5 |         73 |          0 |         25 |         98 |
| Django HTML    |          1 |         40 |          0 |          4 |         44 |
| XML            |          2 |         37 |          0 |          1 |         38 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        242 |     49,064 |      2,203 |      4,163 |     55,430 |
| . (Files)                                                                                                  |          1 |          2 |          0 |          1 |          3 |
| backend                                                                                                    |        113 |     15,836 |      1,307 |      1,949 |     19,092 |
| backend (Files)                                                                                            |          8 |      9,886 |          0 |         92 |      9,978 |
| backend\.github                                                                                            |          4 |         64 |          0 |         24 |         88 |
| backend\.github\workflows                                                                                  |          4 |         64 |          0 |         24 |         88 |
| backend\app                                                                                                |         35 |      3,720 |        409 |      1,240 |      5,369 |
| backend\app\Exports                                                                                        |          1 |         26 |          0 |         14 |         40 |
| backend\app\Http                                                                                           |         17 |      3,156 |        374 |      1,089 |      4,619 |
| backend\app\Http\Controllers                                                                               |         16 |      3,134 |        368 |      1,082 |      4,584 |
| backend\app\Http\Middlewares                                                                               |          1 |         22 |          6 |          7 |         35 |
| backend\app\Models                                                                                         |         16 |        526 |         27 |        132 |        685 |
| backend\app\Providers                                                                                      |          1 |         12 |          8 |          5 |         25 |
| backend\bootstrap                                                                                          |          2 |         24 |          1 |          6 |         31 |
| backend\config                                                                                             |         12 |        547 |        624 |        222 |      1,393 |
| backend\database                                                                                           |         39 |      1,059 |        174 |        273 |      1,506 |
| backend\database\factories                                                                                 |         19 |        393 |         67 |         95 |        555 |
| backend\database\migrations                                                                                |         19 |        614 |        101 |        166 |        881 |
| backend\database\seeders                                                                                   |          1 |         52 |          6 |         12 |         70 |
| backend\public                                                                                             |          1 |         10 |          4 |          7 |         21 |
| backend\resources                                                                                          |          4 |        283 |          0 |         14 |        297 |
